date,Скорост,Тегло,Дължина,Брой автомобили
2023-02-01 04:00:00,47.701550387596896,2933.3805668016194,5757.48031496063,518
2023-02-01 08:00:00,46.90171606864275,2383.960591133005,4675.813953488372,1300
2023-02-01 12:00:00,48.26773761713521,2164.744022503516,4480.856760374832,751
2023-02-01 16:00:00,47.47603121516165,1853.595238095238,4796.719457013574,901
2023-02-01 20:00:00,50.36507936507937,2027.104347826087,5555.378486055777,258
2023-02-02 00:00:00,43.38775510204081,2023.276595744681,5242.857142857143,49
2023-02-02 04:00:00,47.13265306122449,2736.9645390070923,5800.342465753424,296
2023-02-02 08:00:00,47.38988580750408,2658.3005093378606,4746.88524590164,621
2023-02-02 12:00:00,47.642857142857146,2016.525787965616,4379.696132596685,733
2023-02-02 16:00:00,47.10295857988166,1846.6901041666667,4801.9047619047615,853
